GeneId	GeneName
NCU16683.7	predicted protein
NCU07757.7	transcription initiation factor TFIID complex 60 kDa subunit
NCU06431.7	crp-27
NCU01401.7	mitochondrial outer membrane protein
NCU11195.7	D-isomer specific 2-hydroxyacid dehydrogenase
NCU02633.7	nuclear mRNA splicing factor-associated protein
NCU03686.7	lah-3
NCU04988.7	conserved hypothetical protein
NCU06698.7	gnn
NCU05281.7	conserved hypothetical protein
NCU02955.7	elongation factor G 1
NCU17008.7	hypothetical protein
NCU06702.7	yop-1
NCU07909.7	hydrolase
NCU06140.7	conserved hypothetical protein
NCU09690.7	conserved hypothetical protein
NCU07637.7	conserved hypothetical protein
NCU01045.7	grn
NCU03533.7	het-6
NCU05966.7	DNA repair protein
NCU02352.7	solute carrier family 25 protein
NCU00757.7	conserved hypothetical protein
NCU16876.7	conserved hypothetical protein
NCU16911.7	conserved hypothetical protein
NCU02417.7	L-A virus GAG protein N-acetyltransferase
NCU04649.7	dehydrase
NCU07850.7	nor-1
NCU06791.7	conserved hypothetical protein
NCU02311.7	conserved hypothetical protein
NCU01116.7	gsl-10
NCU01298.7	conserved hypothetical protein
NCU05152.7	conserved hypothetical protein
NCU03631.7	conserved hypothetical protein
NCU06049.7	nbs1
NCU08055.7	zip-1
NCU05240.7	conserved hypothetical protein
NCU08719.7	glutamyl-tRNA(Gln) amidotransferase subunit A
NIL	conserved hypothetical protein
NCU05245.7	pex12
NCU01828.7	conserved hypothetical protein
NCU07234.7	conserved hypothetical protein
NCU08197.7	cytochrome P450 2E1
NCU01323.7	cohesin complex subunit
NCU09151.7	conserved hypothetical protein
NCU01572.7	WD domain-containing protein
NCU01322.7	transcription factor TFIIE complex alpha subunit
NCU03421.7	C2H2 finger domain-containing protein
NCU02271.7	YagE family protein
NCU09270.7	conserved hypothetical protein
NCU01799.7	conserved hypothetical protein
NCU07252.7	conserved hypothetical protein
NCU08457.7	eas
NCU06713.7	vacuolar protein sorting protein 55
NCU09336.7	conserved hypothetical protein
NCU06380.7	zinc transporter YKE4
NIL	conserved hypothetical protein
NCU09138.7	peroxisomal dehydratase
NCU04235.7	conserved hypothetical protein
NCU11197.7	DNA-directed RNA polymerase III polypeptide
NCU07162.7	conserved hypothetical protein
NCU03960.7	conserved hypothetical protein
NCU01796.7	conserved hypothetical protein
NCU06851.7	conserved hypothetical protein
NCU17203.7	conserved hypothetical protein
NCU01209.7	conserved hypothetical protein
NCU00066.7	pre-mRNA-splicing factor cwc-22
NCU08793.7	hypothetical protein
NCU05908.7	mpr-4
NCU00123.7	conserved hypothetical protein
NCU00531.7	conserved hypothetical protein
NCU07011.7	WD repeat containing protein 36
NCU06638.7	serine/threonine protein kinase
NCU05295.7	pca-5
NCU02386.7	conserved hypothetical protein
NCU05947.7	conserved hypothetical protein
NCU06799.7	vad-5
NCU17032.7	conserved hypothetical protein
NCU01197.7	gul-1
NCU08886.7	amidohydrolase
NCU00582.7	cry
NCU05910.7	conserved hypothetical protein
NCU05031.7	conserved hypothetical protein
NCU02982.7	rpn-10
NCU01957.7	AR2
NCU11292.7	conserved hypothetical protein
NCU04260.7	oxidoreductase domain-containing protein
NCU09965.7	conserved hypothetical protein
NCU09311.7	met-10
NCU10621.7	conserved hypothetical protein
NCU04544.7	conserved hypothetical protein
NCU01812.7	conserved hypothetical protein
NCU07648.7	conserved hypothetical protein
NCU06735.7	ATP dependent RNA helicase
NCU08668.7	pre-rRNA-processing protein esf-2
NCU03650.7	DNA repair protein RAD16
NCU08961.7	conserved hypothetical protein
NCU05400.7	conserved hypothetical protein
NCU09248.7	CCAAT-binding protein subunit HAP3
NCU00882.7	conserved hypothetical protein
NCU05652.7	conserved hypothetical protein
NCU08709.7	conserved hypothetical protein
NCU09325.7	WD domain-containing protein
NCU08995.7	dual specificity phosphatase
NCU01552.7	crp-28
NCU03426.7	pps1 dual specificty phosphatase
NCU06643.7	oleate-induced peroxisomal protein
NCU00431.7	tom22
NCU08722.7	conserved hypothetical protein
NCU00736.7	nit-1
NCU09097.7	conserved hypothetical protein
NCU03394.7	mrp-15
NCU05277.7	conserved hypothetical protein
NCU09665.7	conserved hypothetical protein
NCU16875.7	conserved hypothetical protein
NCU00786.7	gpr-1
NCU09428.7	conserved hypothetical protein
NCU02092.7	conserved hypothetical protein
NCU16947.7	conserved hypothetical protein
NCU00006.7	conserved hypothetical protein
NCU06052.7	DnaJ domain-containing protein
NCU16376.7	conserved hypothetical protein
NCU05435.7	conserved hypothetical protein
NCU03183.7	conserved hypothetical protein
NCU09784.7	conserved hypothetical protein
NCU10596.7	conserved hypothetical protein
NCU07604.7	XAP5 domain-containing protein
NCU00276.7	mip-1
NCU09640.7	MFS toxin efflux pump
NCU01056.7	conserved hypothetical protein
NCU00455.7	mapkkk cascade protein kinase regulator ste50
NCU06031.7	rhd
NCU09171.7	conserved hypothetical protein
NCU08300.7	conserved hypothetical protein
NCU01920.7	conserved hypothetical protein
NCU06089.7	exonuclease
NCU09608.7	ribonuclease H2 subunit A
NCU06332.7	alpha/beta hydrolase
NCU16627.7	conserved hypothetical protein
NCU04590.7	conserved hypothetical protein
NCU03840.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU01883.7	SH3 domain signaling protein
NCU08194.7	conserved hypothetical protein
NCU04123.7	conserved hypothetical protein
NCU04391.7	MFS aflatoxin efflux pump
NCU08651.7	col-27
NCU04403.7	ubiquitin domain-containing protein
NCU02147.7	ankyrin repeat and zinc finger domain-containing protein 1
NCU03478.7	conserved hypothetical protein
NCU11382.7	tyrosinase
NCU12023.7	37S ribosomal protein MRP4
NCU01541.7	conserved hypothetical protein
NCU08826.7	conserved hypothetical protein
NCU05171.7	conserved hypothetical protein
NCU07881.7	conserved hypothetical protein
NCU04610.7	oxysterol binding protein
NCU09427.7	gpr-3
NCU06744.7	conserved hypothetical protein
NCU16597.7	conserved hypothetical protein
NCU00360.7	NAD dependent epimerase/dehydratase
NCU01002.7	coatomer subunit epsilon
NCU03451.7	hypothetical protein
NCU03551.7	conserved hypothetical protein
NCU02546.7	nucleolar GTP-binding protein 2
NCU05182.7	conserved hypothetical protein
NCU05246.7	DNA repair and recombination protein RAD5C
NCU03307.7	conserved hypothetical protein
NCU06260.7	mRNA-capping enzyme subunit alpha
NCU07541.7	conserved hypothetical protein
NCU09834.7	conserved hypothetical protein
NCU05644.7	gpit-1
NCU08418.7	tripeptidyl-peptidase
NCU02011.7	importin subunit beta-1
NCU03584.7	polyketide synthase
NCU05156.7	conserved hypothetical protein
NCU01580.7	transcription factor TFIIH subunit Tfb4
NCU04851.7	conserved hypothetical protein
NCU04735.7	conserved hypothetical protein
NCU04448.7	T-complex protein 1 subunit alpha
NCU05599.7	crp-32
NCU04320.7	transcriptional co-activator
NCU00922.7	conserved hypothetical protein
NCU00956.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU10684.7	predicted protein
NCU02938.7	conserved hypothetical protein
NCU09318.7	ATP-dependent DNA helicase mph-1
NCU05504.7	conserved hypothetical protein
NCU11363.7	FAD binding domain-containing protein
NCU05492.7	drug resistance protein
NCU01353.7	mixed-linked glucanase
NCU09726.7	conserved hypothetical protein
NCU06028.7	qa-1F
NCU05085.7	conserved hypothetical protein
NCU07567.7	T-complex protein 1 subunit theta
NIL	conserved hypothetical protein
NCU02339.7	conserved hypothetical protein
NCU07239.7	conserved hypothetical protein
NCU02055.7	uridine nucleosidase Urh1
NCU03193.7	conserved hypothetical protein
NCU06082.7	conserved hypothetical protein
NCU02277.7	VanZ domain-containing protein
NCU06355.7	karyopherin
NCU03277.7	pex10
NCU06985.7	conserved hypothetical protein
NCU04134.7	conserved hypothetical protein
NCU03946.7	polyadenylate-binding protein 2
NCU03213.7	mannosylphosphorylation protein
NCU01150.7	UBA domain-containing protein 3
NCU05185.7	bifunctional P-450:NADPH-P450 reductase
NCU00356.7	nucleoside transporter
NCU03085.7	small nuclear ribonucleoprotein Lsm8
NCU04547.7	conserved hypothetical protein
NCU07928.7	conserved hypothetical protein
NCU06737.7	conserved hypothetical protein
NCU16447.7	predicted protein
NCU02308.7	conserved hypothetical protein
NCU00243.7	microtubule-associated protein RP/EB family member 1
NCU06688.7	F-box domain-containing protein
NCU04227.7	conserved hypothetical protein
NCU12097.7	hypothetical protein
NCU08314.7	predicted protein
NCU07662.7	pex7
NCU08608.7	conserved hypothetical protein
NCU09013.7	UPF0047 domain-containing protein
NCU02403.7	ubiquinone biosynthesis protein COQ9
NCU08388.7	COP9 signalosome complex subunit 12
NCU11264.7	conserved hypothetical protein
NCU02770.7	conserved hypothetical protein
NCU05989.7	conserved hypothetical protein
NCU06863.7	hH1
NCU16723.7	predicted protein
NCU02134.7	transcription factor
NCU01313.7	conserved hypothetical protein
NCU10304.7	conserved hypothetical protein
NCU09452.7	conserved hypothetical protein
NCU04508.7	conserved hypothetical protein
NCU06927.7	abhydrolase domain containing 12
NCU04893.7	conserved hypothetical protein
NCU02087.7	conserved hypothetical protein
NCU01593.7	conserved hypothetical protein
NCU00212.7	hH4-2
NCU08328.7	conserved hypothetical protein
NCU02737.7	cation transporter ChaC
NCU16805.7	conserved hypothetical protein
NCU09426.7	conserved hypothetical protein
NCU06703.7	mid-1
NCU00443.7	ran-specific GTPase-activating protein 1
NCU05794.7	conserved hypothetical protein
NCU03878.7	conserved hypothetical protein
NCU08193.7	conserved hypothetical protein
NCU07268.7	conserved hypothetical protein
NCU03045.7	cellular morphogenesis protein
NCU03562.7	conserved hypothetical protein
NCU03329.7	conserved hypothetical protein
NCU03372.7	nonspecific lipid-transfer protein
NCU17073.7	conserved hypothetical protein
NCU06421.7	conserved hypothetical protein
NCU00236.7	flavoprotein oxygenase
NCU09247.7	conserved hypothetical protein
NCU09798.7	aryl-alcohol dehydrogenase
NCU09127.7	conserved hypothetical protein
NCU04738.7	conserved hypothetical protein
NCU02974.7	conserved hypothetical protein
NCU17225.7	hypothetical protein
NCU08021.7	GPI inositol-deacylase
NCU02793.7	conserved hypothetical protein
NCU03188.7	sugar 1,4-lactone oxidase
NCU10166.7	peptidyl-prolyl cis-trans isomerase-like 4
NCU03665.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU06876.7	hit family protein 1
NCU00038.7	C2H2 transcription factor
NCU08797.7	conserved hypothetical protein
NCU07518.7	conserved hypothetical protein
NCU16405.7	hypothetical protein
NCU06330.7	conserved hypothetical protein
NCU01034.7	hypothetical protein
NCU08627.7	crp-7
NCU16396.7	conserved hypothetical protein
NCU01423.7	conserved hypothetical protein
NCU08057.7	short chain dehydrogenase/reductase
NCU01807.7	conserved hypothetical protein
NCU06721.7	peptide chain release factor 1
NCU05536.7	conserved hypothetical protein
NCU02389.7	conserved hypothetical protein
NCU07593.7	conserved hypothetical protein
NCU09823.7	conserved hypothetical protein
NCU05613.7	conserved hypothetical protein
NCU08721.7	conserved hypothetical protein
NCU06934.7	conserved hypothetical protein
NCU05896.7	SesB
NCU02754.7	ckb-2
NCU01138.7	CipA protein
NCU02075.7	hsp70-2
NCU00569.7	SOH1 family protein
NCU06124.7	conserved hypothetical protein
NCU07107.7	conserved hypothetical protein
NCU09807.7	conserved hypothetical protein
NCU00210.7	nuclear cap binding protein subunit 2
NCU16491.7	fungal specific transcription factor domain-containing protein
NCU12156.7	Na(+)/H(+) antiporter 1
NCU10309.7	TBC domain-containing protein
NCU00622.7	cell polarity protein
NCU07997.7	conserved hypothetical protein
NCU06776.7	conserved hypothetical protein
NCU05453.7	ER to Golgi transporter
NCU08531.7	conserved hypothetical protein
NCU02989.7	conserved hypothetical protein
NCU01884.7	conserved hypothetical protein
NCU10618.7	AP-1 complex subunit theta-1
NCU02956.7	apr-4
NCU01165.7	LEM3/CDC50 family protein
NCU01212.7	conserved hypothetical protein
NCU16638.7	DSBA family oxidoreductase
NCU05490.7	conserved hypothetical protein
NCU16971.7	hypothetical protein
NCU03406.7	conserved hypothetical protein
NCU04281.7	WD-repeat protein pop3
NCU03940.7	questionable protein
NCU09297.7	condensin complex component cnd1
NCU04539.7	L-lactate dehydrogenase
NCU01000.7	X-Pro dipeptidyl-peptidase protein
NIL	conserved hypothetical protein
NCU10853.7	conserved hypothetical protein
NCU03238.7	conserved hypothetical protein
NCU08395.7	pre-mRNA splicing factor Dim1
NCU00924.7	gpit-2
NCU11181.7	small COPII coat GTPase sar-1
NCU08794.7	UPF0041 domain-containing protein
NCU04078.7	NAD-dependent methanol dehydrogenase
NCU05676.7	conserved hypothetical protein
NCU04288.7	Poly(A)+ RNA export protein
NCU03644.7	conserved hypothetical protein
NCU01971.7	conserved hypothetical protein
NCU04641.7	FAD dependent oxidoreductase
NCU08047.7	conserved hypothetical protein
NCU04667.7	conserved hypothetical protein
NCU03799.7	pre-mRNA splicing factor prp45
NCU00305.7	short chain dehydrogenase
NCU02345.7	conserved hypothetical protein
NCU04172.7	hsp70-like protein
NCU07296.7	cot-1
NCU00623.7	integral membrane protein
NCU08250.7	conserved hypothetical protein
NCU01343.7	TPR repeat protein
NCU04437.7	conserved hypothetical protein
NCU00132.7	conserved hypothetical protein
NCU06238.7	arp-8
NCU07579.7	conserved hypothetical protein
NCU07069.7	pre-mRNA splicing factor
NCU09235.7	con-8
NCU06584.7	conserved hypothetical protein
NCU06484.7	conserved hypothetical protein
NCU02058.7	conserved hypothetical protein
NCU01183.7	gtp-1
NCU07962.7	conserved hypothetical protein
NCU03740.7	conserved hypothetical protein
NCU00768.7	mRNA binding post-transcriptional regulator
NCU04732.7	conserved hypothetical protein
NCU06557.7	conserved hypothetical protein
NCU01012.7	conserved hypothetical protein
NCU03388.7	stomatin family protein
NCU09708.7	PDCD2_C domain-containing protein
NCU10245.7	conserved hypothetical protein
NCU02765.7	RNA binding protein
NCU16408.7	conserved hypothetical protein
NCU06756.7	ubiquitin-protein ligase
NCU06493.7	gna-1
NCU04052.7	conserved hypothetical protein
NCU07182.7	crp-29
NCU00560.7	WD domain-containing protein
NCU03796.7	pyruvate dehydrogenase kinase
NCU07410.7	conserved hypothetical protein
NCU09274.7	conserved hypothetical protein
NCU03283.7	2-keto-4-pentenoate hydratase
NCU03050.7	ARP2/3 complex 34 kDa subunit
NCU01831.7	RNA polymerase TFIIH complex subunit Ssl1
NCU10351.7	pdx-3
NCU06911.7	conserved hypothetical protein
NCU00386.7	conserved hypothetical protein
NCU06302.7	conserved hypothetical protein
NCU05070.7	conserved hypothetical protein
NCU04907.7	conserved hypothetical protein
NCU02813.7	eukaryotic translation initiation factor 3 subunit M
NCU03411.7	conserved hypothetical protein
NCU06007.7	conserved hypothetical protein
NCU09158.7	conserved hypothetical protein
NCU07906.7	methyltransferase
NCU00547.7	conserved hypothetical protein
NCU06910.7	conserved hypothetical protein
NCU05988.7	conserved hypothetical protein
NCU07406.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU12154.7	predicted protein
NCU07076.7	gh81-1
NCU03422.7	conserved hypothetical protein
NCU07038.7	conserved hypothetical protein
NCU08506.7	conserved hypothetical protein
NCU02262.7	conserved hypothetical protein
NCU04331.7	crp-4
NCU01094.7	isoamyl alcohol oxidase
NCU08013.7	conserved hypothetical protein
NCU07065.7	conserved hypothetical protein
NCU05119.7	conserved hypothetical protein
NCU02289.7	ubiquitin-conjugating enzyme E2
NCU04545.7	conserved hypothetical protein
NCU09203.7	transcription factor iws-1
NCU05307.7	conserved hypothetical protein
NCU07439.7	conserved hypothetical protein
NCU04087.7	Aha1 domain-containing protein
NCU09237.7	KH domain RNA binding protein
NCU05292.7	DNA damage-inducible protein 1
NCU00777.7	methyltransferase
NCU02953.7	conserved hypothetical protein
NCU10091.7	conserved hypothetical protein
NIL	laglidadg endonuclease
NCU06538.7	conserved hypothetical protein
NCU01761.7	conserved hypothetical protein
NCU01927.7	conserved hypothetical protein
NCU03831.7	conserved hypothetical protein
NCU02904.7	alpha/beta hydrolase fold protein
NCU07485.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU05267.7	nonsense-mediated mRNA decay factor
NCU16591.7	hypothetical protein
NCU03948.7	amidohydrolase 3
NCU01876.7	conserved hypothetical protein
NCU03829.7	conserved hypothetical protein
NCU06748.7	conserved hypothetical protein
NCU03060.7	crf6-1
NCU03616.7	smco-7
NCU03083.7	conserved hypothetical protein
NCU06849.7	conserved hypothetical protein
NCU04803.7	npd-1
NCU07858.7	DUF498 domain-containing protein
NCU05017.7	conserved hypothetical protein
NCU02434.7	SQS1
NCU05145.7	conserved hypothetical protein
NCU10012.7	conserved hypothetical protein
NCU05604.7	laccase-1
NCU07693.7	stu-1
NCU07617.7	Acr1
NCU08699.7	bli-4
NCU04513.7	ubiquitin conjugating enzyme Ubc14
NCU09954.7	conserved hypothetical protein
NCU07563.7	conserved hypothetical protein
NCU04002.7	SWR1-complex protein 4
NCU01456.7	DUF250 domain membrane protein
NCU05196.7	mitochondrial DnaJ chaperone
NCU15831.7	conserved hypothetical protein
NCU05195.7	conserved hypothetical protein
NCU05641.7	conserved hypothetical protein
NCU10092.7	conserved hypothetical protein
NCU02202.7	serine/threonine kinase IREI
NCU06854.7	RuvB-like helicase 2
NCU03545.7	conserved hypothetical protein
NCU10337.7	crf7-1
NCU03439.7	conserved hypothetical protein
NCU07827.7	conserved hypothetical protein
NCU06859.7	conserved hypothetical protein
NCU09505.7	conserved hypothetical protein
NCU02343.7	alpha-L-arabinofuranosidase 2
NCU03125.7	NIMA-interacting protein TinC
NCU00772.7	mst-1
NCU05512.7	copper resistance protein Crd2
NCU10457.7	conserved hypothetical protein
NCU08530.7	conserved hypothetical protein
NCU16448.7	conserved hypothetical protein
NCU06284.7	vacuolar protein sorting-associated protein 35
NCU07048.7	conserved hypothetical protein
NCU04189.7	cot-2
NCU02914.7	conserved hypothetical protein
NCU03079.7	conserved hypothetical protein
NCU07654.7	pre-mRNA polyadenylation factor fip-1
NCU02654.7	glycosyl hydrolase family 88
NCU08209.7	conserved hypothetical protein
NCU08092.7	nipsnap family protein
NCU05995.7	ubi
NCU02625.7	conserved hypothetical protein
NCU03828.7	conserved hypothetical protein
NCU05363.7	rpt-6
NCU08696.7	conserved hypothetical protein
NCU00986.7	conserved hypothetical protein
NCU11325.7	alcohol dehydrogenase
NCU09055.7	conserved hypothetical protein
NCU07596.7	conserved hypothetical protein
NCU06807.7	conserved hypothetical protein
NCU02573.7	FAM96B
NCU07258.7	phosphoglycerate mutase
NCU03512.7	conserved hypothetical protein
NCU11235.7	pod-6
NCU06116.7	conserved hypothetical protein
NCU08994.7	conserved hypothetical protein
NCU04498.7	conserved hypothetical protein
NCU05823.7	conserved hypothetical protein
NCU16718.7	predicted protein
NCU03856.7	conserved hypothetical protein
NCU09986.7	conserved hypothetical protein
NCU05115.7	conserved hypothetical protein
NCU00880.7	phospholipase A-2-activating protein
NIL	conserved hypothetical protein
NCU05100.7	conserved hypothetical protein
NCU05655.7	conserved hypothetical protein
NCU06051.7	conserved hypothetical protein
NCU06491.7	SWR1-complex protein 5
NCU06193.7	mmm-1
NCU01483.7	conserved hypothetical protein
NCU02260.7	rpt-3
NCU07822.7	conserved hypothetical protein
NCU01916.7	mitochondrial carrier protein RIM2
NCU04038.7	conserved hypothetical protein
NCU08237.7	conserved hypothetical protein
NCU08167.7	aerobactin siderophore biosynthesis protein iucB
NCU07265.7	conserved hypothetical protein
NCU10906.7	predicted protein
NCU05040.7	conserved hypothetical protein
NCU06018.7	conserved hypothetical protein
NCU04778.7	carbonic anhydrase
NCU09813.7	SMT3
NCU06948.7	efhand domain-containing protein
NCU08718.7	conserved hypothetical protein
NCU00068.7	conserved hypothetical protein
NCU04777.7	PrnX protein
NCU05612.7	conserved hypothetical protein
NCU03482.7	RuvB-like helicase 1
NCU00408.7	conserved hypothetical protein
NCU02716.7	pre-mRNA splicing factor
NCU10703.7	conserved hypothetical protein
NCU04368.7	glutathione S-transferase Gst3
NCU08148.7	H+/nucleoside cotransporter
NCU07233.7	conserved hypothetical protein
NCU02762.7	calcium channel subunit Cch1
NCU08935.7	peroxisomal-coenzyme A synthetase
NCU04364.7	conserved hypothetical protein
NCU07707.7	conserved hypothetical protein
NCU08542.7	conserved hypothetical protein
NCU05066.7	conserved hypothetical protein
NCU02364.7	C2H2 finger domain-containing protein
NCU06539.7	conserved hypothetical protein
NCU10129.7	conserved hypothetical protein
NCU08892.7	conserved hypothetical protein
NCU07840.7	conserved hypothetical protein
NCU15834.7	conserved hypothetical protein
NCU08747.7	monoxygenase
NCU05321.7	conserved hypothetical protein
NCU05666.7	conserved hypothetical protein
NCU03320.7	ada-4
NCU09323.7	conserved hypothetical protein
NCU00551.7	myosin type-2 heavy chain 2
NCU07301.7	conserved hypothetical protein
NCU00753.7	conserved hypothetical protein
NCU06212.7	trafficking protein particle complex subunit 6B
NCU09910.7	conserved hypothetical protein
NCU10883.7	conserved hypothetical protein
NCU00564.7	mitochondrial 40S ribosomal protein MRP2
NCU01569.7	WD repeat containing protein 48
NCU05762.7	conserved hypothetical protein
NCU09542.7	impact family protein
NCU16330.7	hypothetical protein
NCU06732.7	leukotriene A-4 hydrolase
NCU01577.7	conserved hypothetical protein
NCU02745.7	conserved hypothetical protein
NCU02699.7	zinc finger protein
NCU08350.7	conserved hypothetical protein
NCU10052.7	conserved hypothetical protein
NCU03833.7	cnb-1
NCU04065.7	potassium channel protein
NCU04233.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU17268.7	conserved hypothetical protein
NCU05301.7	methyltransferase
NCU00309.7	WSC domain-containing protein
NCU08558.7	conserved hypothetical protein
NCU03766.7	small nuclear ribonucleoprotein
NCU06597.7	conserved hypothetical protein
NCU02234.7	mik-1
NCU09218.7	RNA methylase
NCU04888.7	conserved hypothetical protein
NCU06190.7	atrx
NCU08358.7	conserved hypothetical protein
NCU03798.7	tim22
NCU05732.7	conserved hypothetical protein
NCU10732.7	mitochondrial dicarboxylate transporter
NCU00183.7	DUF185 domain-containing protein
NCU08344.7	crp-62
NCU00834.7	conserved hypothetical protein
NCU16491.7	fungal specific transcription factor domain-containing protein
NCU03263.7	transmembrane protein
NCU07847.7	conserved hypothetical protein
NCU06857.7	conserved hypothetical protein
NCU05470.7	conserved hypothetical protein
NCU06409.7	ribosome biogenesis protein Kri1
NCU01895.7	rrg-1
NCU01698.7	4F5 family protein
NCU08844.7	conserved hypothetical protein
NCU06152.7	conserved hypothetical protein
NCU04018.7	un-13
NCU04746.7	conserved hypothetical protein
NCU07227.7	conserved hypothetical protein
NCU03550.7	conserved hypothetical protein
NCU00082.7	conserved hypothetical protein
NCU01216.7	hpth-1
NCU05029.7	iron-sulfur clusters transporter atm-1
NCU02257.7	protein-tyrosine phosphatase 2
NCU06398.7	conserved hypothetical protein
NCU03138.7	transcription initiation factor TFIID
NCU05883.7	xenobiotic compound monooxygenase
NCU01849.7	extracellular dioxygenase
NCU09952.7	conserved hypothetical protein
NCU04772.7	coatamer subunit protein
NCU04697.7	cyanide hydratase
NCU10393.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU04835.7	conserved hypothetical protein
NCU17230.7	hypothetical protein
NCU05576.7	conserved hypothetical protein
NCU17150.7	hypothetical protein
NCU02803.7	pre-mRNA-splicing ATP-dependent RNA helicase prp-28
NCU08872.7	conserved hypothetical protein
NCU02697.7	hypothetical protein
NCU00498.7	nit-7
NCU16988.7	hypothetical protein
NCU01596.7	rpn-6
NCU05994.7	transcription factor TamA
NCU02081.7	conserved hypothetical protein
NCU01330.7	SacI domain-containing protein
NCU15834.7	conserved hypothetical protein
NCU07253.7	1,3-beta-glucanosyltransferase gel1
NCU09659.7	5'-nucleotidase
NCU07888.7	conserved hypothetical protein
NCU05280.7	conserved hypothetical protein
NCU16643.7	predicted protein
NCU10002.7	conserved hypothetical protein
NCU02035.7	hhh-1
NCU16813.7	predicted protein
NCU05382.7	conserved hypothetical protein
NCU06762.7	alpha-1,6-mannosyltransferase subunit
NCU08527.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU03312.7	CorA family metal ion transporter
NCU02739.7	transcription factor RfeD
NCU06817.7	conserved hypothetical protein
NCU07384.7	mitochondrial thiamine pyrophosphate carrier 1
NCU07108.7	conserved hypothetical protein
NCU03474.7	conserved hypothetical protein
NCU16959.7	conserved hypothetical protein
NCU16715.7	hypothetical protein
NCU05148.7	conserved hypothetical protein
NCU03080.7	conserved hypothetical protein
NCU08184.7	conserved hypothetical protein
NCU05589.7	sip-5
NCU11046.7	conserved hypothetical protein
NCU00845.7	conserved hypothetical protein
NCU08134.7	conserved hypothetical protein
NCU00164.7	crf4-2
NCU08029.7	thi-5
NCU04996.7	conserved hypothetical protein
NCU03396.7	nucleolar protein nop-58
NCU02497.7	conserved hypothetical protein
NCU08765.7	conserved hypothetical protein
NCU07947.7	glycolipid transfer protein HET-C2
NCU08968.7	dimethyladenosine transferase
NCU04295.7	transcription factor
NCU00840.7	conserved hypothetical protein
NCU09508.7	chitin deacetylase
NCU02174.7	conserved hypothetical protein
NCU09222.7	conserved hypothetical protein
NCU02249.7	hat-5
NCU04324.7	conserved hypothetical protein
NCU04326.7	protein kinase
NCU06509.7	conserved hypothetical protein
NCU02191.7	conserved hypothetical protein
NCU09184.7	indoleamine 2,3-dioxygenase
NCU03974.7	conserved hypothetical protein
NCU03260.7	conserved hypothetical protein
NCU09326.7	conserved hypothetical protein
NCU03362.7	gsl-16
NCU04877.7	conserved hypothetical protein
NCU00368.7	conserved hypothetical protein
NCU04303.7	asparagine synthetase 2
NCU00691.7	conserved hypothetical protein
NCU05839.7	conserved hypothetical protein
NCU00314.7	conserved hypothetical protein
NCU05838.7	conserved hypothetical protein
NCU02597.7	conserved hypothetical protein
NCU04626.7	gpr-2
NCU00365.7	conserved hypothetical protein
NCU04886.7	MFS multidrug transporter
NCU05731.7	trx
NCU07867.7	conserved hypothetical protein
NCU17283.7	hypothetical protein
NCU07176.7	amt
NCU17239.7	TOL
NCU09487.7	conserved hypothetical protein
NCU00354.7	conserved hypothetical protein
NCU06917.7	conserved hypothetical protein
NCU06368.7	conserved hypothetical protein
NCU01007.7	conserved hypothetical protein
NCU05574.7	conserved hypothetical protein
NCU10894.7	conserved hypothetical protein
NCU05977.7	dihydrodipicolinate synthase
NCU00147.7	ARD/ARD family protein
NIL	conserved hypothetical protein
NCU04722.7	conserved hypothetical protein
NCU08473.7	alpha-1,3-glucanase
NCU08405.7	conserved hypothetical protein
NCU01969.7	conserved hypothetical protein
NCU01803.7	arginine-tRNA-protein transferase 1
NCU04695.7	methyltransferase-UbiE family protein
NCU02026.7	conserved hypothetical protein
NCU02365.7	conserved hypothetical protein
NCU06874.7	HMG box-containing protein
NCU07429.7	conserved hypothetical protein
NCU09241.7	conserved hypothetical protein
NCU06349.7	conserved hypothetical protein
NCU00186.7	conserved hypothetical protein
NCU03780.7	conserved hypothetical protein
NCU02022.7	conserved hypothetical protein
NCU08340.7	ADP-ribosylation factor 1
NCU04148.7	conserved hypothetical protein
NCU04961.7	conserved hypothetical protein
NCU05005.7	HHE domain-containing protein
NCU01438.7	naf-1
NCU02062.7	conserved hypothetical protein
NCU08767.7	serine/threonine-protein kinase RIO1
NCU05757.7	nitrilase
NCU05225.7	ndp64
NCU02370.7	conserved hypothetical protein
NCU17057.7	predicted protein
NCU04166.7	nucleolar GTP-binding protein 2
NCU03087.7	diploid state maintenance protein chpA
NCU00830.7	tcu-1
NCU01595.7	SOF1
NCU06434.7	conserved hypothetical protein
NCU08102.7	conserved hypothetical protein
NCU17252.7	conserved hypothetical protein
NCU06122.7	GTPase activating protein Sar1
NCU02598.7	conserved hypothetical protein
NCU07217.7	conserved hypothetical protein
NCU02149.7	cytochrome c oxidase assembly protein
NCU00485.7	conserved hypothetical protein
NCU00616.7	conserved hypothetical protein
NCU07975.7	DNA repair and recombination protein RAD5B
